"","logFC","logCPM","LR","PValue","FDR"
"S100A2",0.701943577939003,-2.10981369981851,1.76059926928398,0.184549785692497,0.319345867999509
"CEP104",-0.192204281351103,4.44014214230041,1.75978567505014,0.184651250846425,0.319492626938011
"RBX1",-0.191051494836156,4.78861916646204,1.75932197592831,0.18470910876493,0.319563914839498
"VARS2",-0.187862213010724,6.36432071772682,1.75679528509949,0.185024745833492,0.320081131543332
"DMAP1",0.20034849835256,4.94972135376066,1.7566411481435,0.185044021050572,0.320085613908144
"RP11.881M11.2",1.300732736633,-3.15492079849021,1.75648008569766,0.185064164808501,0.320091597714668
"ZNF850",-0.241755548774682,2.33822321599258,1.7544284616553,0.185320980225822,0.320506896748617
"PRPF19",-0.183446366549536,7.45263031770716,1.75427573369484,0.185340114743543,0.320511096210102
"MTFP1",-0.219608291871652,3.68973159553603,1.75406910395291,0.185366005996018,0.320526978371663
"RPP14.1",-0.477309172416141,-1.18372099209956,1.75373295416137,0.185408135427917,0.32055661448419
"KLHL33",0.359565149912677,0.0341647681433599,1.7536657256509,0.185416562467087,0.32055661448419
"KPNA5",-0.283350651948586,1.62414734925109,1.7529873941682,0.185501615658775,0.320674760895079
"ETHE1",0.188453535076292,5.15278702480815,1.75256923202576,0.185554069863896,0.320736537556433
"ZFYVE21",0.208717300083656,3.07250865510751,1.75127574752254,0.185716433489449,0.320988268152709
"SAPCD2",-0.198165144115288,4.71995141221628,1.75092728661529,0.185760201983633,0.321019947846347
"DND1P1",0.631592361374358,-1.85314330116189,1.7507533796795,0.185782050077357,0.321019947846347
"CECR6",1.11461348125525,-2.94414093674667,1.75073020932419,0.185784961216471,0.321019947846347
"DIS3L",-0.217868416521757,3.61234209364794,1.75031876395888,0.185836664316719,0.321080367877905
"LYPLAL1",-0.23644764087434,2.26497262129622,1.74864575608112,0.186047070294342,0.321414952147406
"RP11.468E2.4",0.402526435215897,-0.492381740543192,1.7483057541038,0.186089864504664,0.321459936117593
"RP1.223E5.4",-0.634611128652936,-1.92586690739897,1.74741187493924,0.186202426814867,0.321625421665907
"RP11.304L19.5",0.262424142961124,1.39240628084698,1.74607295365642,0.186371179389403,0.321887925511856
"ZC3H7A",-0.185313189212869,5.39363292203809,1.74561899512635,0.186428434947255,0.321957829189224
"RP5.1074L1.1",0.673399136385838,-2.03125379968558,1.74529385471727,0.186469455873522,0.321986031339647
"ARHGEF6",-0.180106282365403,7.01231862724494,1.74522214193489,0.18647850483754,0.321986031339647
"TGIF2",-0.178321510664746,5.72438887886949,1.7450905178204,0.186495114946372,0.321986031339647
"ANAPC13",-0.218252489323638,2.83345306821575,1.74449751749873,0.186569969066709,0.322086282421022
"FAR2",-0.216379346091425,3.11672163788477,1.74320801975891,0.186732862264729,0.322338488622352
"TMEM41A",-0.195829948435105,4.05896759387453,1.74287107288799,0.186775453638314,0.322383002973554
"HDDC3",-0.189535426452497,5.15229025121415,1.74269639192233,0.186797538425697,0.322392117191166
"GIMAP6",0.20079437419555,5.59389922797962,1.74201563212605,0.186883635366855,0.32249318673965
"RP11.159D12.2",0.223503289076357,3.59488159606298,1.74196754689161,0.186889718539037,0.32249318673965
"EFTUD1P1",1.36310782711671,-3.21884358281046,1.74117468435144,0.186990055283323,0.322602263410076
"POM121",-0.189262285015409,6.0475575032394,1.74107357869332,0.187002854705312,0.322602263410076
"MID1IP1.AS1",-1.21171859084256,-3.09722777243515,1.74102374316184,0.187009163985178,0.322602263410076
"ABCB8",-0.194848485558399,5.33130600623059,1.74093664420192,0.187020191485372,0.322602263410076
"SMCO2",0.468995819942956,-1.14420889571253,1.73912879365003,0.187249252208274,0.322968345196056
"ZNF346",-0.199208735048977,3.7257352530345,1.73885418635917,0.187284074407674,0.322999367809352
"ANAPC16",-0.17711214205401,6.0648936746863,1.73867721446326,0.187306519720519,0.323009040974217
"AC016629.8",0.291120151908397,0.667904946799261,1.73831518570726,0.18735244550776,0.323059200707026
"MYO15A",-1.04636950072128,-2.88377317475733,1.73748328335456,0.187458027562211,0.323212209830235
"EPS8L1",0.293964976728254,0.494000399811711,1.73606006665377,0.187638817637162,0.323494852297713
"CARD6",0.24954725875298,1.33061641015075,1.73547091124616,0.18771371693175,0.323594901548713
"CDC20",-0.177712107630572,7.30868748762576,1.73527118640692,0.187739115833462,0.323609608020213
"IFT172",-0.206198302274653,3.14012793373026,1.7336067640839,0.187950935113231,0.323945619454437
"COX15",-0.185441530542465,4.8043407545609,1.73323879534256,0.187997801424349,0.323997288926171
"C12orf57",-0.201281223731386,5.819274614432,1.73295772734627,0.18803360878954,0.324029891729751
"METTL10",-0.228466166786321,2.63676185925276,1.73141263226234,0.188230591867267,0.324340210613753
"RP11.793H13.11",-0.485831578679234,-1.18471268138069,1.73107499401431,0.188273669097453,0.324385302347071
"STAG3L2",-0.220983010639138,2.34323585335261,1.73090033703159,0.188295957032693,0.324394570372865
"CDK13",-0.203045447751468,4.64104729714442,1.7306778168175,0.188324357232145,0.324414365942238
"RP11.102M11.1",0.65056189887736,-1.9415230413886,1.72960251182059,0.188461668424712,0.324600907096806
"RP11.46H11.3",1.15948307849929,-3.01124188053172,1.72956481335298,0.188466484448857,0.324600907096806
"RFX1",0.212175479041589,3.73443937504145,1.72930319419651,0.188499910555055,0.324615499109886
"MCM7",-0.174784932475571,8.92115652167656,1.72915528691959,0.188518811171272,0.324615499109886
"KIAA0226",0.182184196833155,5.51365526797334,1.72910124522151,0.188525717544037,0.324615499109886
"EIF4A1",-0.175045031256168,5.82344579222553,1.72845697909834,0.188608075583545,0.324728163876004
"PLEKHA8P1",0.347076515929447,0.0129894253363655,1.72758663099674,0.188719400732936,0.324887631967645
"NBPF9",0.247980957624887,1.56464806485523,1.72746811020297,0.188734566498796,0.324887631967645
"MRFAP1L1",-0.190126776305283,5.20524076067308,1.72531909949202,0.189009797401574,0.325332223501632
"NHP2",-0.177836814028865,6.70156134215372,1.72395793258251,0.189184368337066,0.325603490315477
"AC012318.3",0.789544963357217,-2.36824493308269,1.72372998920112,0.1892136206437,0.325624624331664
"C3orf17",-0.198088319418192,4.38264667767647,1.72349843079289,0.189243342266552,0.325646562147618
"HAAO",0.430342269375403,-0.909268788928821,1.72168282187764,0.189476572892647,0.326011607864095
"TADA3",0.190636839420322,6.87206204547513,1.72158251622663,0.189489467776519,0.326011607864095
"ZMYND19",-0.189847932697224,4.98236340117735,1.72029080401146,0.18965561640691,0.326260306089043
"SCAMP5",0.452836709383461,-0.961303064960641,1.72019433274528,0.189668031994323,0.326260306089043
"P2RX5",0.209062874574047,3.0371203638568,1.72005370169653,0.189686132521227,0.326262188669512
"PCBP1",-0.178018182813124,8.28698326242148,1.71972969819447,0.18972784245344,0.326304675703205
"CCDC66",-0.206180812986421,3.37616120221898,1.71931281767056,0.189781524442934,0.32636002677576
"PLXNB1",0.252925191417829,1.3220178547006,1.7192155795352,0.189794048409547,0.32636002677576
"PHF17",-0.184825103000269,4.79249464870559,1.71900345367043,0.18982137289746,0.326377759368862
"MRPS6",-0.171110455245444,6.53831027177465,1.71856475383854,0.189877897516815,0.326428509212612
"CRADD",-0.234396350530018,1.75547518913002,1.71851027252909,0.189884918572466,0.326428509212612
"SPIB",-0.633366767886507,-1.94114086597208,1.71807124395589,0.189941507626012,0.326496534701644
"IPO9",-0.166915097405016,6.9235950991364,1.71777799806892,0.189979316814229,0.326532269582601
"JMJD6",-0.179624476008717,5.45784273409989,1.717393589849,0.190028893158354,0.326560317555136
"TSEN34",-0.20971411177451,3.11255828203213,1.71726856233345,0.190045020951626,0.326560317555136
"RPLP1",0.173780496358096,10.174321533845,1.71725554412944,0.190046700312905,0.326560317555136
"CNTRL",-0.186315337870346,5.69173468250532,1.71650924323434,0.190143002796608,0.326696534896375
"NUMA1",0.172873017256421,7.98452416065431,1.71539896615228,0.190286377959902,0.326913599100986
"ACOT13",-0.196132091302284,4.12178422134883,1.7144944822038,0.190403271275051,0.327085132468827
"MLC1",0.271997942059981,1.0009340543458,1.71404137186646,0.190461861631294,0.327131658810804
"PTPN4",-0.215542384241141,3.70724324127882,1.71402129564775,0.190464458113978,0.327131658810804
"RP11.46D6.1",0.24503479480393,1.9955131190027,1.71329675752251,0.190558191170784,0.327263351321411
"SLC35F3",0.18712407527887,4.96293341027111,1.71274532502614,0.190629565704575,0.327356625317067
"CTD.2517M22.17",-1.11037137988958,-2.98594818908199,1.71204785681405,0.190719886992007,0.32748241581864
"ZNF397",-0.262518671403603,1.43352036622089,1.71175163189042,0.1907582628584,0.327504938856596
"RPL13AP5",0.207230906895118,4.58634613769138,1.71168307417767,0.190767145776516,0.327504938856596
"AKT1S1",-0.200634665756861,4.09383103392058,1.71146330266828,0.190795624487262,0.32752452181354
"RASSF8.AS1",0.397501695057622,-0.630498072913739,1.71107744190638,0.190845637582119,0.327563850570714
"ZNF195",-0.206718077726025,3.75231053163399,1.71102309528662,0.190852682912663,0.327563850570714
"BRD1",0.18357184026617,5.09683964926342,1.70935713749132,0.191068799867489,0.327872556370477
"HACE1",-0.241040609929902,3.32285114215486,1.70928624638791,0.191078002570584,0.327872556370477
"RP11.849F2.9",0.437377445510026,-0.721944944016572,1.70901871444467,0.191112736791381,0.327872556370477
"GAL",-0.643620283828266,-1.98179110731165,1.70894432499511,0.191122396234868,0.327872556370477
"NAT8L",-0.487411598464251,-1.27165133624536,1.70890073051203,0.191128057227622,0.327872556370477
"RP11.150L8.4",0.931648479100899,-2.67814300610016,1.70884658677517,0.191135088373594,0.327872556370477
"HCG17",-1.31561950966729,-3.2177247963182,1.70865719470197,0.191159685343052,0.327885432570984
"MKKS",-0.201372602235697,3.47712697763715,1.70847064560143,0.191183916696304,0.327897679404487
"RP11.163E9.2",0.520583879270023,-1.43507833946047,1.7073976131022,0.191323365314702,0.328107514397296
"AHCYL2",0.222782986013026,2.97971013730919,1.70683721503752,0.191396240414825,0.328203152695604
"HDAC4",0.208776857214307,3.81246032409246,1.70663795111246,0.191422160833608,0.3282182639729
"IMPDH1P10",1.35564815180245,-3.22591557505758,1.70562524311037,0.191553958065902,0.328379919271178
"CTSH",0.202338688053451,4.1100560546974,1.70554295819658,0.191564671552563,0.328379919271178
"RP11.701H24.2",-0.372486637888926,0.331678246733437,1.70551900584116,0.191567790277979,0.328379919271178
"LCAT",0.224192686563384,2.09038816720927,1.70530302385004,0.191595914970212,0.3283987875193
"CTC1",0.18653366165018,4.95399758891063,1.70513229625177,0.191618150146455,0.328407558563493
"PREB",-0.178509078603637,6.42572400720017,1.70447754260671,0.191703451705212,0.32852440562434
"CTB.63M22.1",-1.43826979924702,-0.674113860894469,1.70341119735892,0.19184247046044,0.328733279366161
"ACTR3C",-0.354699019844864,-0.285650653648929,1.70299145709107,0.191897224005265,0.328797735334554
"MMRN1",0.546388378465088,-1.59193925332182,1.70266211195799,0.19194019861515,0.328841999502738
"ABHD16A",0.239664247537961,2.08593725128747,1.70250195016117,0.191961101392051,0.328848444522412
"PRSS21",-0.218903481697349,2.73589605032048,1.70235253959565,0.191980603417378,0.328852488978785
"DHDDS",-0.190658456109149,4.90128878586701,1.7017437747164,0.192060087227519,0.328959269124181
"RP11.848P1.9",-1.19451675423403,-3.09440978369855,1.70143293144824,0.19210068751095,0.328999436698587
"RPL5P4",-0.362079892117826,-0.29849302079111,1.69968608605914,0.19232903532348,0.329341130972465
"CCDC106",0.232504102639638,3.05656113160915,1.69964405276102,0.192334533824107,0.329341130972465
"SLC35C2",-0.188703067079492,4.92415745908125,1.69921588638935,0.192390553998656,0.32940765537387
"KLHL12",-0.182827390719074,5.23828610847754,1.69668829615184,0.192721645856008,0.329945098674595
"ANXA3",-0.295430441604506,0.424883130246257,1.69636106397667,0.19276455899884,0.329989119692402
"RP3.405J10.3",-0.942018045452904,-2.72237463058872,1.69442900357822,0.193018156524508,0.330393766320725
"ILDR2",-0.21977803402748,2.44947934506128,1.69381185279729,0.193099244346926,0.330503078133266
"ZC2HC1A",-0.545049548157527,-1.61495548883366,1.6924487876025,0.193278479400615,0.330761936755651
"RP11.43F13.3",0.430903371053926,-0.714835497673855,1.69239948523817,0.193284966013427,0.330761936755651
"RP11.480D4.6",1.07890024431977,-2.92254398816328,1.69209644466359,0.193324842039481,0.330800668438052
"ACTR5",-0.200501354796353,3.39419177472075,1.69033651492648,0.193556615042179,0.331167721357728
"TULP2",0.96175432069999,-2.74216270723865,1.68925215794732,0.193699580545978,0.331306854933143
"GCDH",-0.198633328168191,5.18594231793056,1.68923635220064,0.193701665344682,0.331306854933143
"EPM2A",-0.24283672676578,1.61129739348587,1.68921622375134,0.193704320351498,0.331306854933143
"IFT27",-0.199949943810727,3.35906278152864,1.68919583105113,0.193707010257236,0.331306854933143
"BRF1",0.192676586487516,4.71143126140335,1.68842937815949,0.193808141143458,0.331448121947245
"MYO1C",0.208458703761073,3.78611512439995,1.68830802864446,0.193824158463703,0.331448121947245
"TMEM184B",0.198915894320224,4.67362634641539,1.68784280728481,0.193885578896571,0.331523603487587
